SampleID,Sex,Generation,CrossType
F02,F,41,DO
F03,F,41,DO
F04,F,41,DO
F06,F,41,DO
F07,F,41,DO
F08,F,41,DO
F10,F,41,DO
F12,F,41,DO
F14,F,41,DO
F15,F,41,DO
F17,F,41,DO
F19,F,41,DO
F23,F,41,DO
F24,F,41,DO
F25,F,41,DO
F26,F,41,DO
F28,F,41,DO
F29,F,41,DO
F31,F,41,DO
F32,F,41,DO
F33,F,41,DO
F36,F,41,DO
F37,F,41,DO
F38,F,41,DO
F39,F,41,DO
F40,F,41,DO
F51,F,41,DO
F55,F,41,DO
M03,M,41,DO
M04,M,41,DO
M11,M,41,DO
M12,M,41,DO
M14,M,41,DO
M15,M,41,DO
M16,M,41,DO
M17,M,41,DO
M19,M,41,DO
M20,M,41,DO
M21,M,41,DO
M23,M,41,DO
M24,M,41,DO
M25,M,41,DO
M26,M,41,DO
M28,M,41,DO
M29,M,41,DO
M30,M,41,DO
M32,M,41,DO
M33,M,41,DO
M34,M,41,DO
M35,M,41,DO
M36,M,41,DO
M37,M,41,DO
M38,M,41,DO
M39,M,41,DO
M45,M,41,DO
M58,M,41,DO
1320,F,2,4WC
1342,M,2,4WC
5040-1,F,3,4WC
5040-2,F,3,4WC
5040-3,F,3,4WC
5040-4,F,3,4WC
5040-5,F,3,4WC
5040-6,F,3,4WC
5040-7,M,3,4WC
5041-1,F,3,4WC
5041-2,F,3,4WC
5041-3,F,3,4WC
5041-4,M,3,4WC
5041-5,M,3,4WC
5041-6,M,3,4WC
5041-7,M,3,4WC
1301,F,2,4WC
1339,M,2,4WC
4990-1,F,3,4WC
4990-2,F,3,4WC
4990-3,F,3,4WC
4990-4,F,3,4WC
4990-5,F,3,4WC
4990-6,M,3,4WC
4990-7,M,3,4WC
4991-1,F,3,4WC
4991-2,F,3,4WC
4991-3,F,3,4WC
4991-4,F,3,4WC
4991-5,F,3,4WC
4991-6,M,3,4WC
4991-7,M,3,4WC
1328,F,2,4WC
1314,M,2,4WC
5060-1,F,3,4WC
5060-2,F,3,4WC
5060-3,F,3,4WC
5060-4,F,3,4WC
5060-5,F,3,4WC
5060-6,M,3,4WC
5060-7,M,3,4WC
5061-1,F,3,4WC
5061-2,F,3,4WC
5061-3,F,3,4WC
5061-4,F,3,4WC
5061-5,F,3,4WC
5061-6,F,3,4WC
5061-7,M,3,4WC
